!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.36233342030769,-19.54657,-82.235832,-32.615555,-137.80852,-30.480282,47.058739,15.647713,-15.596879
0.36680667241026,-19.544916,-82.236526,-29.889513,-134.6031,-29.997154,45.126404,18.049486,-14.04279
0.37127992451282,-19.543602,-82.208069,-28.202421,-92.812729,-28.997475,56.43082,19.273468,27.381296
0.37575317661538,-19.544523,-82.209839,-26.565088,-93.753494,-28.172319,56.757893,21.306673,27.205332
0.38022642871795,-19.542912,-82.216713,-28.391033,-115.26346,-29.242687,49.570911,18.995043,4.0693603
0.38469968082051,-19.544577,-82.224861,-29.265532,-125.03533,-29.322622,47.064838,18.817589,-5.7484508
0.38917293292308,-19.546597,-82.22245,-35.823227,-120.30275,-30.97068,51.063484,12.628474,-4.5824804
0.39364618502564,-19.545563,-82.212341,-32.074509,-117.27612,-30.108242,49.980698,16.042952,0.98178399
0.39811943712821,-19.54323,-82.203545,-28.799246,-105.72322,-29.010269,51.591412,19.252838,12.77948
0.40259268923077,-19.544106,-82.211121,-31.860991,-76.473526,-30.015936,62.341473,15.982862,44.31345
0.40706594133333,-19.543425,-82.2425,-27.366676,-140.86609,-29.28594,39.694641,20.76053,-19.846254
0.4115391934359,-19.544807,-82.264076,-32.686741,-159.39958,-31.224579,43.317612,15.148631,-37.557953
0.41601244553846,-19.54357,-82.275177,-32.990227,-99.85672,-30.160482,54.452732,14.976042,18.092443
0.42048569764103,-19.545307,-82.283409,-28.405764,-96.291229,-29.121038,54.965126,18.868584,23.762079
0.42495894974359,-19.547998,-82.244225,-26.899292,-60.834084,-28.483349,69.835464,20.97529,61.588615
0.42943220184615,-19.551085,-82.24614,-31.813942,-97.529053,-29.926725,55.39822,15.865524,23.101635
0.43390545394872,-19.544218,-82.20993,-30.380665,-91.065445,-29.476778,58.081192,17.472532,30.065042
0.43837870605128,-19.54203,-82.225235,-35.517136,-65.361099,-30.926811,62.396866,11.711554,54.944401
0.44285195815385,-19.537964,-82.247612,-30.550997,-80.503387,-29.427332,59.87262,17.450928,36.717148
0.44732521025641,-19.54159,-82.27919,-34.448734,-99.522659,-30.432533,54.154827,13.682081,18.114
0.45179846235897,-19.543789,-82.276695,-33.266838,-106.01524,-30.014513,53.556854,15.404023,13.773211
0.45627171446154,-19.545061,-82.256668,-32.752895,-84.911133,-30.133595,58.661758,14.794846,30.094711
0.4607449665641,-19.543789,-82.219513,-25.324379,-70.013557,-27.95376,65.72818,22.041857,49.087311
0.46521821866667,-19.545387,-82.219421,-34.155434,-79.812202,-30.291702,58.746983,14.045138,36.955154
0.46969147076923,-19.541937,-82.221581,-32.462738,-94.351761,-30.112936,57.841805,15.428649,26.353342
0.47416472287179,-19.53874,-82.242958,-27.819633,-105.96982,-28.664392,52.797771,20.01581,15.759204
0.47863797497436,-19.541128,-82.214157,-23.52919,-34.33728,-27.855383,85.522263,24.379536,86.249649
0.48311122707692,-19.542309,-82.264259,-33.540707,-72.130783,-30.593788,61.250748,13.99754,46.223267
0.48758447917949,-19.547461,-82.251068,-35.432819,-60.003822,-31.005917,62.974285,11.770305,54.537418
0.49205773128205,-19.548584,-82.242729,-38.119038,-47.881287,-31.365553,63.062946,8.7428713,60.24078
0.49653098338462,-19.553415,-82.247162,-33.704929,-49.118313,-30.787668,64.593552,13.344892,61.386223
0.50100423548718,-19.555996,-82.236389,-37.680107,-62.639126,-31.108368,60.91901,9.9601545,45.548199
0.50547748758974,-19.558731,-82.25425,-37.134754,-51.808468,-31.263117,61.730778,9.7779846,55.153072
0.50995073969231,-19.560442,-82.283745,-37.209808,-50.610455,-31.313398,60.556717,9.3159018,55.893147
0.51442399179487,-19.559809,-82.299278,-37.4142,-58.263626,-31.218464,60.551514,9.4359426,50.259819
0.51889724389744,-19.559879,-82.300903,-37.209595,-47.303883,-31.349186,62.514393,9.611062,60.990723
0.523370496,-19.560143,-82.301529,-36.27504,-53.880665,-30.985012,60.320816,11.120341,51.347923
0.52784374810256,-19.559183,-82.281837,-38.227245,-33.712494,-31.494249,63.543667,8.3990097,72.858803
0.53231700020513,-19.556208,-82.282166,-34.963364,-51.907719,-30.745934,62.097847,11.863185,55.442989
0.53679025230769,-19.554914,-82.288994,-34.585037,-34.375393,-31.130917,66.20285,12.239598,75.051933
0.54126350441026,-19.553911,-82.30304,-36.307804,-39.870014,-31.197468,63.232792,10.458405,67.391884
0.54573675651282,-19.557285,-82.282959,-35.450794,-47.609085,-30.904104,63.230724,11.420316,58.147572
0.55021000861538,-19.554691,-82.276794,-36.228233,-61.836266,-31.05401,60.331676,10.64289,43.578716
0.55468326071795,-19.55698,-82.268135,-39.594185,-49.327251,-31.504173,61.065826,6.6894703,54.473831
0.55915651282051,-19.552336,-82.255943,-36.48975,-41.71093,-31.187689,63.305683,10.577261,66.767387
0.56362976492308,-19.553213,-82.27858,-40.278133,-38.582047,-31.85615,61.234844,6.0480304,68.756592
0.56810301702564,-19.552959,-82.274284,-35.8657,-39.734638,-31.18454,63.359512,11.095918,67.819031
